"","lat","lon","day","sis","sid","id"
"217",44.083,5.05901,7,8150.88333333333,9213.15,"44.083 5.05901 7"
"218",44.083,5.05901,8,8126.46666666667,8904.85,"44.083 5.05901 8"
"219",44.083,5.05901,9,8332.4,9736.73333333333,"44.083 5.05901 9"
"220",44.083,5.05901,10,8134.51666666667,8870.78333333333,"44.083 5.05901 10"
"221",44.083,5.05901,11,8237.05,9478.33333333333,"44.083 5.05901 11"
"222",44.083,5.05901,12,8213.86666666667,9525.21666666667,"44.083 5.05901 12"
"223",44.083,5.05901,13,8139.73333333333,8766.03333333333,"44.083 5.05901 13"
"224",44.083,5.05901,14,7687.7,7817.15,"44.083 5.05901 14"
"225",44.083,5.05901,15,5533.01666666667,2869.6,"44.083 5.05901 15"
"226",44.083,5.05901,16,8160.71666666667,8298.88333333333,"44.083 5.05901 16"
"227",44.083,5.05901,17,7261.3,6837.55,"44.083 5.05901 17"
"228",44.083,5.05901,18,8243.18333333333,9180.16666666667,"44.083 5.05901 18"
"229",44.083,5.05901,19,8514.78333333333,11338.35,"44.083 5.05901 19"
"230",44.083,5.05901,20,8591.4,11291.3666666667,"44.083 5.05901 20"
"231",44.083,5.05901,21,8740.45,12130.5666666667,"44.083 5.05901 21"
"232",44.083,5.05901,22,8198.58333333333,9684.33333333333,"44.083 5.05901 22"
"233",44.083,5.05901,23,8395.38333333333,10355.0333333333,"44.083 5.05901 23"
"234",44.083,5.05901,24,7587.2,5904,"44.083 5.05901 24"
"235",44.083,5.05901,25,7397.9,5819.28333333333,"44.083 5.05901 25"
"236",44.083,5.05901,26,6972.36666666667,5020.56666666667,"44.083 5.05901 26"
"237",44.083,5.05901,27,8158.9,9129.78333333333,"44.083 5.05901 27"
"238",44.083,5.05901,28,6191.15,3696.2,"44.083 5.05901 28"
"239",44.083,5.05901,29,8147.8,9137.73333333333,"44.083 5.05901 29"
"240",44.083,5.05901,30,8017.88333333333,8757.55,"44.083 5.05901 30"
"241",36.905,-75.713,1,0,0,"36.905 -75.713 1"
"242",36.905,-75.713,2,0,0,"36.905 -75.713 2"
"243",36.905,-75.713,3,5262.43333333333,1856.16666666667,"36.905 -75.713 3"
"244",36.905,-75.713,4,2473.66666666667,117.316666666667,"36.905 -75.713 4"
"245",36.905,-75.713,5,7050.46666666667,4665.75,"36.905 -75.713 5"
"246",36.905,-75.713,6,7738.95,6969.18333333333,"36.905 -75.713 6"
"247",36.905,-75.713,7,2876.01666666667,120.083333333333,"36.905 -75.713 7"
"248",36.905,-75.713,8,2165.28333333333,4.3,"36.905 -75.713 8"
"249",36.905,-75.713,9,5833.56666666667,4099.05,"36.905 -75.713 9"
"250",36.905,-75.713,10,7786.55,5624.16666666667,"36.905 -75.713 10"
"251",36.905,-75.713,11,7293.71666666667,5158.03333333333,"36.905 -75.713 11"
"252",36.905,-75.713,12,7454.31666666667,5651.95,"36.905 -75.713 12"
"253",36.905,-75.713,13,6602.68333333333,4344.35,"36.905 -75.713 13"
"254",36.905,-75.713,14,5793.31666666667,2638.41666666667,"36.905 -75.713 14"
"255",36.905,-75.713,15,2900.16666666667,273.066666666667,"36.905 -75.713 15"
"256",36.905,-75.713,16,5519.03333333333,1430.35,"36.905 -75.713 16"
"257",36.905,-75.713,17,1494.21666666667,0.1,"36.905 -75.713 17"
"258",36.905,-75.713,18,6487.61666666667,4519.11666666667,"36.905 -75.713 18"
"259",36.905,-75.713,19,2321.26666666667,405.783333333333,"36.905 -75.713 19"
"260",36.905,-75.713,20,3279,83.6166666666667,"36.905 -75.713 20"
"261",36.905,-75.713,21,7498.23333333333,6664.88333333333,"36.905 -75.713 21"
"262",36.905,-75.713,22,6327.01666666667,5250.13333333333,"36.905 -75.713 22"
"263",36.905,-75.713,23,8221.88333333333,9152.1,"36.905 -75.713 23"
"264",36.905,-75.713,24,0,0,"36.905 -75.713 24"
"265",36.905,-75.713,25,8283.91666666667,9224.96666666667,"36.905 -75.713 25"
"266",36.905,-75.713,26,7694.81666666667,6957.3,"36.905 -75.713 26"
"267",36.905,-75.713,27,4549.26666666667,3645.63333333333,"36.905 -75.713 27"
"268",36.905,-75.713,28,5884.51666666667,2307.46666666667,"36.905 -75.713 28"
"269",36.905,-75.713,29,7803.86666666667,7323.38333333333,"36.905 -75.713 29"
"270",36.905,-75.713,30,7167.36666666667,5292.6,"36.905 -75.713 30"
"271",-30.665,23.993,1,3519.18333333333,5511.61666666667,"-30.665 23.993 1"
"272",-30.665,23.993,2,3174.05,4000.03333333333,"-30.665 23.993 2"
"273",-30.665,23.993,3,1988.16666666667,1695.55,"-30.665 23.993 3"
"274",-30.665,23.993,4,3869.95,7941.05,"-30.665 23.993 4"
"275",-30.665,23.993,5,3841.78333333333,8188.21666666667,"-30.665 23.993 5"
"276",-30.665,23.993,6,3860.91666666667,8025.58333333333,"-30.665 23.993 6"
"277",-30.665,23.993,7,3728.16666666667,7255.78333333333,"-30.665 23.993 7"
"278",-30.665,23.993,8,3802.68333333333,1505.46666666667,"-30.665 23.993 8"
"279",-30.665,23.993,9,3778.06666666667,8080.88333333333,"-30.665 23.993 9"
"280",-30.665,23.993,10,3775.96666666667,8121.61666666667,"-30.665 23.993 10"
"281",-30.665,23.993,11,3699.71666666667,7677.13333333333,"-30.665 23.993 11"
"282",-30.665,23.993,12,3630.8,7282.18333333333,"-30.665 23.993 12"
"283",-30.665,23.993,13,3667.36666666667,7655.8,"-30.665 23.993 13"
"284",-30.665,23.993,14,3683.56666666667,7751.2,"-30.665 23.993 14"
"285",-30.665,23.993,15,3633.71666666667,7640.46666666667,"-30.665 23.993 15"
"286",-30.665,23.993,16,3705.65,7789.35,"-30.665 23.993 16"
"287",-30.665,23.993,17,3559.75,7217.43333333333,"-30.665 23.993 17"
"288",-30.665,23.993,18,3515.1,6947.1,"-30.665 23.993 18"
"289",-30.665,23.993,19,3575.33333333333,7208.7,"-30.665 23.993 19"
"290",-30.665,23.993,20,3482.96666666667,6566.25,"-30.665 23.993 20"
"291",-30.665,23.993,21,2958.58333333333,4463.91666666667,"-30.665 23.993 21"
"292",-30.665,23.993,22,3006.88333333333,3042.56666666667,"-30.665 23.993 22"
"293",-30.665,23.993,23,3571.76666666667,7129.06666666667,"-30.665 23.993 23"
"294",-30.665,23.993,24,3709.06666666667,8062.63333333333,"-30.665 23.993 24"
"295",-30.665,23.993,25,3698.81666666667,7933.36666666667,"-30.665 23.993 25"
"296",-30.665,23.993,26,3542.9,6751.2,"-30.665 23.993 26"
"297",-30.665,23.993,27,3682.75,7800.75,"-30.665 23.993 27"
"298",-30.665,23.993,28,3716.7,7868.16666666667,"-30.665 23.993 28"
"299",-30.665,23.993,29,3643.51666666667,7388.71666666667,"-30.665 23.993 29"
"300",-30.665,23.993,30,3714.71666666667,7617.68333333333,"-30.665 23.993 30"
"301",-12.425,130.891,1,5339.93333333333,7041.36666666667,"-12.425 130.891 1"
"302",-12.425,130.891,2,3941.5,4419.26666666667,"-12.425 130.891 2"
"303",-12.425,130.891,3,4961.6,6312.38333333333,"-12.425 130.891 3"
"304",-12.425,130.891,4,4540.71666666667,5870.28333333333,"-12.425 130.891 4"
"305",-12.425,130.891,5,5389.45,8128.63333333333,"-12.425 130.891 5"
"306",-12.425,130.891,6,5280.78333333333,7346.56666666667,"-12.425 130.891 6"
"307",-12.425,130.891,7,4757.95,6258.01666666667,"-12.425 130.891 7"
"308",-12.425,130.891,8,5494.8,8104.73333333333,"-12.425 130.891 8"
"309",-12.425,130.891,9,5486.1,8045.88333333333,"-12.425 130.891 9"
"310",-12.425,130.891,10,5569.2,8209.31666666667,"-12.425 130.891 10"
"311",-12.425,130.891,11,5489.4,7870.03333333333,"-12.425 130.891 11"
"312",-12.425,130.891,12,5444.56666666667,7802.63333333333,"-12.425 130.891 12"
"313",-12.425,130.891,13,5407.31666666667,7705.06666666667,"-12.425 130.891 13"
"314",-12.425,130.891,14,5151.15,7011.06666666667,"-12.425 130.891 14"
"315",-12.425,130.891,15,4369.4,4128.06666666667,"-12.425 130.891 15"
"316",-12.425,130.891,16,3639.45,2346.88333333333,"-12.425 130.891 16"
"317",-12.425,130.891,17,5331.46666666667,7444.23333333333,"-12.425 130.891 17"
"318",-12.425,130.891,18,5441.86666666667,8047.81666666667,"-12.425 130.891 18"
"319",-12.425,130.891,19,5317.4,7043.25,"-12.425 130.891 19"
"320",-12.425,130.891,20,5537.75,8225.33333333333,"-12.425 130.891 20"
"321",-12.425,130.891,21,5565.1,8562.25,"-12.425 130.891 21"
"322",-12.425,130.891,22,5522.31666666667,8460.78333333333,"-12.425 130.891 22"
"323",-12.425,130.891,23,5301.3,7672.15,"-12.425 130.891 23"
"324",-12.425,130.891,24,5511.6,8174.96666666667,"-12.425 130.891 24"
"325",-12.425,130.891,25,5516.18333333333,8478.88333333333,"-12.425 130.891 25"
"326",-12.425,130.891,26,5684.2,8823.53333333333,"-12.425 130.891 26"
"327",-12.425,130.891,27,5605.28333333333,8704.06666666667,"-12.425 130.891 27"
"328",-12.425,130.891,28,5237.66666666667,8004.85,"-12.425 130.891 28"
"329",-12.425,130.891,29,5559.6,8405.43333333333,"-12.425 130.891 29"
"330",-12.425,130.891,30,5393.2,6966.36666666667,"-12.425 130.891 30"
"331",36.626,-116.018,1,2938.9,3827.2,"36.626 -116.018 1"
"332",36.626,-116.018,2,2965.8,3915.05,"36.626 -116.018 2"
"333",36.626,-116.018,3,2934.66666666667,3743.81666666667,"36.626 -116.018 3"
"334",36.626,-116.018,4,2888.28333333333,3417.06666666667,"36.626 -116.018 4"
"335",36.626,-116.018,5,2887.05,3275.9,"36.626 -116.018 5"
"336",36.626,-116.018,6,2901.48333333333,3442.9,"36.626 -116.018 6"
"337",36.626,-116.018,7,2916.48333333333,3572.85,"36.626 -116.018 7"
"338",36.626,-116.018,8,2805.86666666667,3067.56666666667,"36.626 -116.018 8"
"339",36.626,-116.018,9,2737.55,3080.51666666667,"36.626 -116.018 9"
"340",36.626,-116.018,10,2944.85,3624.48333333333,"36.626 -116.018 10"
"341",36.626,-116.018,11,2976.4,3797.4,"36.626 -116.018 11"
